member_state,date_of_admission,year_of_admission
Austria,1/1/1995,1995
Belgium,1/1/1958,1958
Bulgaria,1/1/2007,2007
Croatia,7/1/2013,2013
Cyprus,5/1/2004,2004
Czech Republic,5/1/2004,2004
Denmark,1/1/1973,1973
Estonia,5/1/2004,2004
Finland,1/1/1995,1995
France,1/1/1958,1958
Germany,1/1/1958,1958
Greece,1/1/1981,1981
Hungary,5/1/2004,2004
Ireland,1/1/1973,1973
Italy,1/1/1958,1958
Latvia,5/1/2004,2004
Lithuania,5/1/2004,2004
Luxembourg,1/1/1958,1958
Malta,5/1/2004,2004
Netherlands,1/1/1958,1958
Poland,5/1/2004,2004
Portugal,1/1/1986,1986
Romania,1/1/2007,2007
Slovakia,5/1/2004,2004
Slovenia,5/1/2004,2004
Spain,1/1/1986,1986
Sweden,1/1/1995,1995
United Kingdom,1/1/1973,1973
